icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,snapshot_time
ab1644,UAL2250,United States,2026-04-29 13:24:00+00:00,1777469040,-98.2192,29.7789,2727.96,False,152.28,248.81,-6.83,,2857.5,3671.0,False,0,2026-04-29 13:24:01+00:00
e8027d,LPE2081,Chile,2026-04-29 13:23:15+00:00,1777468995,-76.3633,-6.5644,502.92,False,72.57,350.2,-3.58,,586.74,,False,0,2026-04-29 13:24:01+00:00
39de4b,TVF27CR,France,2026-04-29 13:24:00+00:00,1777469041,1.0369,46.5613,11269.98,False,218.89,210.66,-0.33,,11452.86,1000.0,False,0,2026-04-29 13:24:01+00:00
39de4a,TVF77CG,France,2026-04-29 13:24:01+00:00,1777469041,11.3233,55.9764,11887.2,False,198.55,35.3,0.0,,11963.4,1000.0,False,0,2026-04-29 13:24:01+00:00
aa9321,UAL97,United States,2026-04-29 13:24:01+00:00,1777469041,-122.2971,37.5885,297.18,False,81.1,299.65,-3.9,,312.42,,False,0,2026-04-29 13:24:01+00:00
39de4c,TVF77YP,France,2026-04-29 13:24:00+00:00,1777469040,1.4704,48.07,4076.7,False,186.37,25.86,-5.2,,4221.48,1000.0,False,0,2026-04-29 13:24:01+00:00
801642,AXB1089,India,2026-04-29 13:23:56+00:00,1777469040,77.3691,27.31,11582.4,False,212.53,1.39,0.0,,12108.18,,False,0,2026-04-29 13:24:01+00:00
a3b87f,DAL2688,United States,2026-04-29 13:24:00+00:00,1777469040,-80.2571,40.8758,11277.6,False,256.29,116.72,0.0,,11376.66,3615.0,False,0,2026-04-29 13:24:01+00:00
a5953a,TRF559,United States,2026-04-29 13:24:00+00:00,1777469040,-96.6879,33.6936,449.58,False,46.06,159.74,-4.88,,441.96,,False,0,2026-04-29 13:24:01+00:00
a73857,N5641X,United States,2026-04-29 13:24:00+00:00,1777469041,-93.3969,44.8067,510.54,False,62.76,345.28,-1.3,,518.16,,False,0,2026-04-29 13:24:01+00:00
39de51,TVF21CH,France,2026-04-29 13:24:01+00:00,1777469041,23.0511,37.8646,4183.38,False,198.55,125.3,-7.8,,4343.4,7552.0,False,0,2026-04-29 13:24:01+00:00
39de53,TVF70XK,France,2026-04-29 13:24:01+00:00,1777469041,-8.2332,39.1974,11567.16,False,242.8,39.15,0.0,,11719.56,4453.0,False,0,2026-04-29 13:24:01+00:00
39de55,TVF3031,France,2026-04-29 13:24:00+00:00,1777469040,1.064,47.5816,7216.14,False,219.49,27.05,-4.88,,7414.26,1000.0,False,0,2026-04-29 13:24:01+00:00
